Date	Amvets	Bradley McKinley	Broadway	Carle Park	East Main	Freshville	I_74	Locust Street	Mumford	Myra	O_ L_ Johnson	Perkins	Race Street	South Ridge	Staley	Timber Hills	Vine
8/1/2013	307040	10800	82600	7400	69480	36400	51390	206400	0	295140	5680	2500	253000	8640	4320	5600	17100
8/2/2013	296940	11550	87150	7200	60660	35000	48640	172800	0	265340	9600	4000	227140	14400	3240	8000	24700
8/3/2013	270680	11250	82250	6400	60480	35400	41160	168960	14820	271540	14320	5500	235400	17100	3240	6600	19000
8/4/2013	258560	9750	81200	6700	58590	36120	51390	168960	12540	178540	18540	4000	220000	15840	3600	7300	20900
8/5/2013	286840	9600	92400	6600	65980	32400	67890	165120	14250	305640	22620	4500	237600	17460	4320	8500	24700
8/6/2013	272700	9600	82600	7700	61110	30600	40390	147840	14250	234440	26040	5500	232100	16560	3240	7400	24700
8/7/2013	278760	18500	75600	6400	57960	40400	21140	173760	11970	228140	29560	4000	226600	15480	127890	6400	20900
8/8/2013	268660	18250	80150	6400	56070	40800	24660	183360	13110	194040	32920	4000	212300	14040	118320	6700	20900
8/9/2013	258560	18750	81900	7500	60030	30920	40390	194880	9120	153740	35880	4000	211200	14040	112730	7000	22800
8/10/2013	286840	17500	76300	7500	57960	36800	23890	191040	9120	172340	39080	5000	247500	12420	263010	6800	19000
8/11/2013	258560	17500	82950	6200	56070	35320	37640	175680	7980	132040	41800	4500	215140	13140	186180	6800	19000
8/12/2013	266640	18000	84000	6900	57330	26200	15640	163200	7980	197140	44920	5000	219540	13860	125280	6800	20900
8/13/2013	266640	17250	80500	7000	57330	26400	19160	158400	11400	156840	48600	4500	215600	13680	100050	6600	22800
8/14/2013	262600	18750	90650	8400	54180	33400	654500	176640	7980	796700	51800	4000	204600	12240	100920	5700	19000
8/15/2013	262600	18000	87850	6700	55440	38000	4640	175680	9690	796700	2800	4500	214820	10980	118320	6300	20900
8/16/2013	262600	16250	77350	7000	55440	37800	660000	161280	10260	837000	2480	4000	240900	12600	94090	6800	20900
8/17/2013	278760	17250	71050	6400	56070	40000	669020	157440	10260	827700	2560	4000	283660	11160	104650	6200	19000
8/18/2013	286840	16250	67550	8900	59850	40800	673750	174720	10830	796700	2560	3500	300940	10980	113970	5500	19000
8/19/2013	276740	15000	64750	7900	68670	37800	665500	132480	13590	821500	2640	4000	278300	11880	112230	5700	20900
8/20/2013	278760	18750	65450	7500	78120	37600	668250	139200	11970	861800	2720	4500	293240	12600	107880	7100	22800
8/21/2013	286840	16250	72800	7000	52920	44400	657250	189120	11400	871100	3120	4500	313500	12060	99180	5500	19000
8/22/2013	260580	17000	79100	6600	54180	43200	671000	218880	13110	778100	2400	4000	222200	11520	101050	5900	19000
8/23/2013	232300	18500	82250	5800	49770	40600	654500	248640	11970	719200	2800	4000	170500	11880	97440	5800	19000
8/24/2013	286840	17250	79450	6600	51660	40000	660000	282240	10260	796700	2480	3000	299200	10440	107010	5500	20900
8/25/2013	333300	16250	93450	6300	51660	35600	665500	311040	9120	899000	2000	4000	401500	10800	106140	5400	19000
8/26/2013	329260	17000	92400	6700	51660	29200	676500	298560	9690	917600	3520	3000	400720	12060	113970	6300	22800
8/27/2013	286840	18250	78400	8400	55440	28400	676500	304320	9120	858700	3280	5000	292600	12960	87870	6300	24700
6/2/2014	327240	28160	84000	7200	78750	25000	715000	115200	11970	1001300	3680	5000	281920	18900	105400	7800	38000
6/3/2014	323200	27520	77000	7400	74970	25400	701250	144960	11970	954800	3280	4000	277840	18000	127890	7000	49400
6/3/2014	323200	27520	77000	7400	74970	25400	701250	144960	11970	954800	3280	4000	277840	18000	127890	7000	49400
6/4/2014	307040	27200	76300	7400	72450	21600	716540	143040	6840	926900	3040	4000	251900	16200	121800	6200	36100
6/5/2014	426220	37120	128100	7900	98280	49060	814000	187200	11400	1162500	10640	6500	371800	18000	348000	9400	80340
6/6/2014	365620	31360	94150	8000	85050	24000	753500	153600	10830	1081900	4640	4000	323400	18180	214890	8900	49400
6/7/2014	345420	29760	87150	7500	80640	22000	723250	149760	9120	979600	3200	4500	298420	21240	140940	7800	45600
6/8/2014	359560	27520	92050	7400	83160	30400	739750	134400	9690	1007500	4720	6000	297000	20340	143550	7700	49940
6/9/2014	412080	40640	134050	7900	95130	35000	891770	134400	7980	1181100	9040	6500	340540	20700	183570	10300	57000
6/10/2014	363600	32960	99750	8600	84420	25600	775500	166080	8550	1038500	4320	5000	307220	20160	151380	8900	41800
6/10/2014	363600	32960	99750	8600	84420	25600	775500	166080	8550	1038500	4320	5000	307220	20160	151380	8900	41800
6/11/2014	567340	49920	202650	10200	129150	53600	899250	222720	11970	1475300	18160	9000	471440	22140	228810	15000	118340
6/11/2014	567340	49920	202650	10200	129150	53600	899250	222720	11970	1475300	18160	9000	471440	22140	228810	15000	118340
6/12/2014	601960	48000	168350	10200	127260	33400	932250	205440	13680	1593400	10400	9500	535240	23580	196620	17400	68940
6/13/2014	505000	41600	125650	9900	100170	30000	869770	194880	11970	1354700	6800	8000	432300	19800	167910	13400	51300
6/14/2014	456520	36160	113400	9200	95760	29600	825000	174720	12540	1215200	5360	7000	393800	19620	156600	11800	41800
6/14/2014	456520	36160	113400	9200	95760	29600	825000	174720	12540	1215200	5360	7000	393800	19620	156600	11800	41800
6/15/2014	420160	31040	105350	7900	94500	19200	805750	153600	11970	1156300	4240	7000	365840	23760	155730	10500	39900
6/16/2014	385820	29440	104650	10100	86310	19860	784520	144960	11400	1125300	4000	5500	349800	21600	130500	9600	38000
6/17/2014	365620	34560	94500	9900	82530	29200	789250	190080	10260	1069500	3920	5000	320100	19800	321900	8600	30400
6/17/2014	365620	34560	94500	9900	82530	29200	789250	190080	10260	1069500	3920	5000	320100	19800	321900	8600	30400
6/18/2014	353500	30720	91700	7500	75600	28800	762520	192000	9120	1013700	3680	5500	301400	18900	216010	7700	24700
6/18/2014	353500	30720	91700	7500	75600	28800	762520	192000	9120	1013700	3680	5500	301400	18900	216010	7700	24700
6/19/2014	339360	27200	85050	7600	76230	28800	728750	190080	6840	979600	3520	5000	281600	17640	128760	7800	29040
6/19/2014	339360	27200	85050	7600	76230	28800	728750	190080	6840	979600	3520	5000	281600	17640	128760	7800	29040
6/20/2014	319160	26560	86100	8300	74340	28200	737000	184320	8550	973400	3120	5000	271700	18540	133980	7400	19000
6/21/2014	434300	28160	154000	8700	114030	46940	852500	234240	14250	1457000	8480	6000	330000	19620	192270	10900	60800
6/22/2014	363600	31040	122500	8300	95130	25400	797500	169920	24510	1190400	4480	5500	306900	21060	160950	9700	39900
6/22/2014	363600	31040	122500	8300	95130	25400	797500	169920	24510	1190400	4480	5500	306900	21060	160950	9700	39900
6/23/2014	353500	26240	120050	8600	90090	25600	781000	166080	13680	1184200	4560	5500	295900	22680	133110	9600	32300
6/23/2014	353500	26240	120050	8600	90090	25600	781000	166080	13680	1184200	4560	5500	295900	22680	133110	9600	32300
6/24/2014	527220	31040	150850	9200	115920	45100	801020	250560	9120	1140800	9840	6500	313040	19440	163560	10900	67040
6/24/2014	527220	31040	150850	9200	115920	45100	801020	250560	9120	1140800	9840	6500	313040	19440	163560	10900	67040
6/25/2014	88260	95040	499450	25900	384930	75100	716890	522240	15390	1348820	41840	25500	1065900	26280	572460	109580	115760
